name,mission
"
Stiftung Wasserhus Albinen ","
The purpose of the foundation is to maintain, renovate and redesign the Stadel reservoir on Dorfplatzstrasse, plot No. 4104, Plan 2, in Albinen to create a public place of tranquility with individual information and considerations about water in Albinen and Valais, in particular about Suonen, Water water, power plant construction, glaciers and climate change. The foundation is not for profit and does not seek a profit.
"
"
Fondazione Quadrans ","
The promotion and support of new technological developments and applications, in particular the Quadrans platform and basic research, development and education to spread decentralized protocols and tools everywhere that allow developers to produce next generation decentralized applications (DAPPS) and to build a more accessible, free and more reliable internet network together globally; in particular, in the first place, the DAPPS concerning the Traceability and Traceability in the agri-food sector, incorporating within the platform all the world standards concerning Food (in particular: FOODON, FDA, HALAL, EFSA, KOSHER). Its field of activity has no geographical boundaries.
"
"
Fondation Perene ","
Support, support and education for people with disabilities, especially mental, up to 20 years (see statutes for full purpose).
"
"
Stiftung juristische Weiterbildung Zurich ","
Promotion of further legal training and exchange of experience between lecturers and practitioners. The deed of foundation contains further provisions on how this purpose is to be achieved.
"
"
Fondazione Germogli ","
The granting of financial aid to parents who wish to have their children attend a Rudolf Steiner school in the Ticino area and who are unable to fully pay the registration and attendance fees.
"
"
St.Gilgen International School Privatstiftung ","
The Executive Board, consisting of the Chairman Gert Fahrnberger, Deputy Chairman Christian Dreyer and Andrea von Baumbach.
The Advisory Council, consisting of Founders, as well as representatives of the Parentsa Association, the municipality of St. Gilgen, and the county of Salzburg. The tasks of the Foundation are limited to strategic topics, while the schoolas operation is the responsibility of the subsidiary St. Gilgen International School GmbH. Strategic tasks include the principles and governance of the School, its long-term development, the appointment of the Head of School, and the financing thereof. 
The ongoing school operation is financed through school fees and generous scholarship partners. The school does not receive any public funding, nor does it seek such funding, so that it may remain independent in educational and personnel decisions. However, the Foundation ensures that all necessary accreditations of the national and international school authorities are gained, and are constantly renewed. T
The Foundation sees itself as a committed, philanthropic institution and welcomes new Founders at any time. A one-time endowment of at least a¬100,000 entitles the holder to a lifelong seat on the Foundationas Advisory Council.
"
"
Zofingerhaus-Stiftung ","
The purpose of the foundation is to maintain the property at Alpeneggstrasse 8 in Bern with the Zofingerhaus in its current state, including the club premises of the Bern section of the Swiss Zofinger Association. With a non-profit intention, it wants to preserve this property as a place of encounter. The foundation also aims to support charitable, tax-exempt social, scientific or cultural organizations through donations. The foundation can acquire or resell land, provided this is in connection with the foundation's purpose or serves as an investment, as well as entering into all transactions and concluding contracts that are suitable for promoting the purpose of the foundation or that are directly or indirectly related to it. As part of its purpose, the foundation is mainly active in the canton of Bern. The foundation's profit and capital are dedicated exclusively to the aforementioned purpose. Commercial purposes are excluded.
"
"
Stiftung Wohnen im Alter Zofingen ","
Procurement and creation of age-appropriate and handicapped-friendly living space for renting - excluding any speculative intent - especially to older people from the Zofingen region; can participate in institutions with a similar purpose or support them financially.
"
"
Fondation Comte et Comtesse de Marenches ","
keep the archives of the Maison de Marenches to allow their study and complete them; create scholarships for geopolitical students; collect, preserve and manage the fortune of Count Alexandre de Marenches and Countess Lilian de Marenches, nee Witchell, after their disappearance; collect, preserve and manage any donations of archives; participate in works to safeguard the Universal Heritage, as far as possible; as far as necessary, create, organize and manage an Institute of Geopolitics by placing, if necessary, adequate premises at its disposal.
"
"
Asbach-Familienstiftung ","
Contribution or in an emergency - covering the costs of members of the Asbach / Wantzen families for their education and training, including studies at home and abroad, their support in the vicissitudes of life such as serious illness, helplessness or frailty, care of Hugo's family graves Asbach, Rudesheim am Rhein (DE), Harro Moller-Racke, Bingen am Rhein (DE) and the donor; complete description of the purpose in accordance with the deed of foundation
"
"
Stiftung Luftseilbahn Reigoldswil-Wasserfallen LRW ","
Maintenance and operation of the Reigoldswil-Wasserfallen cable car as a not-for-profit company for the benefit of the population of the Northwestern Switzerland region on a non-profit basis.
"
"
Klara Rossmann Stiftung ","
The purpose of the foundation is to set up and operate a home for homeless animals, especially dogs and cats, in the Kirchrainstrasse 17 property in Niederglatt. This property must also be made available to animal-loving and less well-off people or families. Associated with this is the requirement to operate the home for homeless animals. Furthermore, instead of renting the property, the property users have to take care of the ordinary maintenance of the property in Kirchrainstrasse 17 in Niederglatt, as defined in Art. 765 ZGB, and to pay taxes and fees for water, electricity and rubbish collection themselves.
"
"
stiftung m.a.c. sonderpadagogische schule ","
The mac special education school foundation aims to train normally gifted children and adolescents with special needs in a currently or permanently stressed life and learning situation, regardless of their cognitive performance level, in order to enable them to optimally integrate into society. The purpose of the foundation can be fulfilled by managing and ensuring the continuity of a school called stiftung mac special education school. The school is politically and religiously neutral and is run as a day school. Specialists with a great deal of special educational knowledge in dealing with special life requirements and learning biographies support the students individually and in small study groups. Whenever possible, the lessons take place according to the curriculum of the Canton of Zurich and are geared towards holistic promotion of the individual potential of children and young people (mens, anima, corpus-mac), based on an expanded understanding of education. The focus is on practical offers and support for the greatest possible autonomy and integration. The mac special education school foundation develops contemporary, situational and innovative offers, structures and forms of learning and ensures high educational quality, which it regularly reviews. The school offers the children and adolescents entrusted to it competent special and socio-pedagogical as well as therapeutic support in order to prepare them optimally for the integration into the mainstream school or for the entry into an initial vocational training (according to their abilities and interests). The aim is to further develop the own strengths and resources of the children and young people with a view to mastering future demands in life. When leaving school, young people should have the best possible conditions to lead a fulfilled and self-determined life in our society. The foundation does not pursue any commercial purposes and does not seek any profit.
"
"
Fondation Jetzt Kunst ","
The purpose of the foundation is to support contemporary Swiss art and culture in the Bern region, but also in other parts of Switzerland and abroad, and to make and promote it to a broader public. In particular through the organization and implementation of your own art and cultural projects, art and cultural activities and exhibitions or as a sponsoring organization for such projects and activities. She can also purchase works of art. It can also carry out all activities and activities, enter into business, conclude contracts and take out or grant loans that are suitable for promoting the purpose of the foundation or that are directly or indirectly related to it. To promote the purpose of the foundation, the foundation can participate in other companies and organizations at home and abroad or work with them. It can acquire, hold and sell real estate. The foundation is of a non-profit nature and does not pursue any commercial purposes. Any surpluses will be fully reinvested in line with the intended purpose.
"
"
Kirchenstiftung Ziteil ","
The Ziteil pilgrimage chapel serves as a place of prayer and Roman Catholic worship for the parish of Salouf and for out-of-town pilgrims. The Church Foundation legally guarantees that the Church will be available to pilgrims in accordance with the guidelines of the Roman Catholic Church and will remain in this function in the service of God's people. In particular, the foundation aims to properly administer the pilgrimage church and the pilgrim house and the entire inventory of the same. Furthermore, the foundation takes care of the maintenance and any necessary renewal of the building facilities and inventory items, taking into account the responsibility of the pastor responsible for Salouf or his deputy as rector ecclesiae.
"
"
Vinzenz Meyer-Steger-Stiftung ","
Promotion of youth in the community and parish of Buttisholz by supporting the training and further education of those responsible for youth in the associations based in Buttisholz; Support of selected projects of open youth work by the community and parish.
"
"
Accordeos Stiftung ","
By providing charitable services to private and public institutions and projects at home and abroad, the foundation pursues the following purposes: a) The promotion of projects that are particularly aimed at women or young people with the aim of training, support for self-help and the Poverty reduction; b) promoting organ building and organ culture; c) the promotion of projects to achieve sustainable ecological improvements. The foundation may not provide any services that are not related to the purpose of the foundation. The foundation does not pursue profit-making or self-help purposes.
"
"
SILEA, Stiftung fur integriertes Leben und Arbeiten ","
The purpose of the foundation is to support and care for mentally, multiply and / or mentally disabled people who are entitled to an IV pension and to offer them appropriate and meaningful jobs, employment and living spaces. To this end, it runs independently or in cooperation with other institutions in particular a) a production and service company with workplaces and IV clarification stations; b) an offer of external jobs; c) a residential and leisure offer. It is at the service of the federal disability insurance and the corresponding authorities of the Canton of Bern. The foundation is of a non-profit nature and does not pursue any profit-making purpose.
"
"
Johannes und Esther Rosli Stiftung ","
With the income from the foundation's assets, to enable orphaned, Swiss-German-speaking, mentally handicapped people without siblings, vacation and leisure activities (for example also purchase of a general subscription, etc.).
"
"
Stiftung fur Zoobauten im Zoo Zurich ","
The purpose of the foundation is to promote zoo buildings in the Zurich Zoological Garden and all activities that are useful for the realization of the purpose of the Zurich Zoological Garden or its successor organizations. The foundation is not a family foundation within the meaning of Art. 87 ZGB. The foundation is of a non-profit nature and does not pursue any profit-making purpose.
"
"
Fondazione Doudou e Calinou ","
The purpose of the foundation, of public utility and non-profit, is the financial aid of public or private entities (associations, foundations, etc.) that deal with the support of disabled people, single-parent families in difficulty, minors who they need special care in the field of paediatrics, women and / or children who are victims of violence and animal protection. Within the framework of the established purpose, the foundation is active throughout Switzerland.
"
"
Aragon Shield Stiftung ","
The purpose of the Foundation, a non-profit organization, is to protect the Aragon Project and protect the Aragon ecosystem, its initiators, key contributors and Guardians from liability. For this purpose, the foundation can: a) accept and provide donations and participate in companies and other institutions in Germany and abroad; b) receive, store and dispose of distributed ledger-based digital tokens and other funds; c) Supporting regulatory systems for the Aragon Project through the appointment and dismissal, directly or indirectly, of independent, unrelated Guardians (Guardians) or otherwise, and engaging with authorities or third parties and engaging in order to to promote the development and commercialization of such control systems; d) Liability protection for the Aragon Ecosystem, its initiators (such as the founders of the Aragon Project, the members, board members and directors of the Aragon Association), key contributors and Guardians; e) receive, acquire, hold or assign intellectual property rights and license rights of all kinds; f) conduct and promote all business and/or engage in all transactions, and generally take all actions and things that are necessary, appropriate, related or desirable to achieve or further the objectives described herein. The foundation can also transfer the fulfillment of its task to other organisations, create such organizations and/or support existing organisations. The foundation has no profit-making purpose and does not seek any profit. Within the scope of the purpose, the foundation can be active in Germany and abroad. Potential beneficiaries related to the purpose and principles of the foundation have no rights or claims against the foundation.
"
"
 Stop poaching  Stiftung ","
Promotion and support of all measures that are suitable to prevent the poaching of animals in Asia and Africa; supports, among other things, the creation and maintenance of reserves for such animals and measures that serve to preserve endangered animal populations, including the assumption of costs that arise in connection with the pursuit of poachers; can support measures that serve to protect rainforests, rare plants and trees.
"
"
Fondazione Fratelli Agostino Enrico Rocca ","
Promote, stimulate or intervene in any form in works and initiatives of a scientific, cultural, charitable and welfare nature. The foundation will be able to assign grants to teaching institutes and teachers, to establish and assign scholarships and other grants to students, as well as prizes to scholars in any scientific field. The foundation will also be able to assist people or categories of people in need in any form.
"
"
Stiftung Innovationspark Zurich ","
The purpose of the foundation is to set up and operate the Zurich Innovation Park as part of the Swiss Innovation Park. It ensures framework conditions that promote innovation (new products, services, business models, processes), promote the networking of science and business (knowledge and technology transfer) and thus increase the attractiveness of Zurich as an innovation area.
"
"
Marianne und Peter Ehret-Stiftung ","
Granting of financial contributions to promote the harmonious development of the landscape and townscape of Sursee and the surrounding area.
"
"
Fondation du Service Hospitalier de l'Ordre de Malte en Suisse (Fondashoms) ","
financially support in the Canton of Friborg and outside the activity of the Hospital Service of the Order of Malta in Switzerland (SHOMS) whose aim is to provide assistance to the sick, the disabled, pilgrims and the elderly , to the disabled, to the victims of natural disasters and to the victims of armed conflicts who find themselves in destitution based on the centuries-old tradition of the Sovereign Order of Malta, in accordance with articles 2, para. 1-2 and 9, al. 3 of the Constitutional Charter and in art. 266 of the Code of this Order, as well as the principles contained in the Rule of the Order of St. John, of the Bailiwick of Brandenburg. As part of its activity, SHOMS can collaborate with Swiss, foreign and international charitable and humanitarian organizations; he makes himself available to Civil Protection during disasters and collaborates, according to his possibilities, in relief actions in favor of disaster victims decided by the Committee of Relief Organizations of the Sovereign Order of Malta, in Rome. In any case, the foundation does not pursue any profit or commercial purpose.
"
"
RADUGA, Stiftung fur Selbsthilfeprojekte in Russland ","
Humanitarian and technical assistance to people in Russia; Development and support of projects according to the principle: help for self-help; Promotion of interpersonal, economic and cultural contacts.
"
"
Fondation Handicap Mental et Societe  FHMS  ","
Implement means to promote research and interdisciplinary collaboration in the field of mental handicap and social exclusion, more specifically that of adult autism; contribute to the financing of multidisciplinary research and documentation projects that it supports in accordance with its objectives.
"
"
Fondazione Ida e Mabel Trosi ","
Promote and finance the creation, construction, management and administration of an institution for the elderly or the promotion of social activities in favor of the elderly for the Municipality of Airolo and neighboring municipalities. The structure will benefit primarily citizens residing in Airolo and / or in the region. The Foundation may delegate the management and administration of the Home for the Elderly or facility to third parties or institutions. The Foundation is authorized to purchase real estate and movable property intended to achieve the intended purpose. The Foundation may collaborate with public and private entities based in Switzerland that pursue similar purposes.
"
"
Karl-Jaspers-Stiftung ","
Facilitating the scientific and technical preparatory work for the publication of the estate and the correspondence of Karl Jaspers; Funding an edition of the collected works and writings, including the estate and correspondence; Arranging for the reprint of out-of-print publications in the meantime; Promotion of the publication of studies dealing with the work of Karl Jasper.
"
"
Stiftung Kriegstrauma-Therapie ","
Support of programs that offer therapeutic help, mourning and reconciliation work for people who suffer from war trauma or who are victims of torture or former torturers. The ethnic or religious affiliation must not play a role.
"
"
Stiftung Haus des Schweizer Rudersportes, Sarnen ","
The purpose of the foundation is to manage the  House of Swiss Rowing  on the Ruti-Seefeld property in Sarnen as a national rowing center and to serve primarily the Swiss Rowing Association SRV, the Swiss rowing clubs and their members, and secondly other athletes ( Rowing and other sports) and, thirdly, to make them available to other interested parties on favorable terms. It can take over other facilities and properties that are related to the operation of the  House of Swiss Rowing  or that otherwise serve the practice of rowing.
"
"
Stiftung SWICA Gesundheitsorganisation ","
The aim of the foundation is to ensure continuity and stability in the insurance of all SWICA policyholders against the risks of accidents and illness within the framework of compulsory and extra-compulsory health and accident insurance. In addition, the foundation is committed to strengthening the Swiss health system and can support projects in teaching, research and prevention in this area. In order to achieve this purpose, the foundations can found companies, participate in them, operate them, finance them or support them in any other way. To protect the rights of the foundation, there is a shareholders' agreement relating to the company SWICA Holding AG between the SWICA health organization and the foundation. Within the scope of its powers, the Board of Trustees must make any changes or terminate the shareholders' agreement while safeguarding the rights and in the interests of the Foundation and notify the supervisory authority.
"
"
Inselspital-Stiftung ","
The Inselspital Foundation aims to maintain and increase the assets donated by Anna Seiler for the benefit of the patients. The Inselspital Foundation runs the Inselspital, University Hospital Bern, through Insel Gruppe AG, in which it must have the majority of shares and votes, in accordance with hospital supply and university legislation and promotes its sustainable development. Inselspital, University Hospital Bern, conducts teaching and research through Insel Gruppe AG in accordance with the University Law of September 5, 1996 (Art. 53ff) and the Hospital Supply Act of June 13, 2013 (Art. 34). In particular, it can: run other companies in the areas of patient care and education or participate in such; Buying and selling real estate.
"
"
LA CHRYSALIDE ","
promote the quality of end-of-life support and the control of palliative care in all care facilities in the canton of Neuchatel, Jura and Bern, for the district of Bernese Jura, whether at home or in an institution or in the hospital; develop palliative care, whether at the specialized site of the Neuchatel Hospital (HNE) - la Chrysalide or in any other place, particularly in the areas of information, training, outpatient consultation, quality , of research; offer various means of animation to hospitalized patients and of resourcing to staff, on the specialized site of the HNE - la Chrysalide; promote support for bereaved people who need it, adults and children, whether individually or in groups; contribute to changing attitudes towards death in the direction of its acceptance as one of the essential components of life. The foundation is independent of any religion, any denomination and any political party (for complete purpose, cf. statutes).
"
"
FONDATION TRAFIGURA ","
Establish, promote, subsidize or manage actions, programs or public utility funds, in particular in the regions where the Trafigura group is established. The activity of the Foundation relates to social, cultural, educational, scientific, medical, humanitarian or ecological goals of public utility that the Council of the Foundation wishes to promote, to the exclusion of any religious objective.
"
"
Stiftung Komturei Tobel ","
The foundation uses and revives, renews and complements the cultural and architectural monument Komturei Tobel from an economic point of view. In the Komutrei Tobel, a place is to be created where, by living and learning together, working and experiencing with one another, finding and developing, an exchange between different people can take place. The Komutrei should become the social, cultural and gastronomic network of generations and offer people of all ages the appropriate framework for optimal development. The foundation can acquire and sell rights to properties.
"
"
Fondation pour l'aide au protestantisme reforme (FAP) ","
grant subsidies to specific actions undertaken by organizations belonging to Reformed Protestantism or with their assistance.
"
"
Domus-Historicus-Stiftung ","
The purchase or rental, maintenance and renovation of historical buildings, mainly located in the area of the Canton of Bern, ie saving them from decay and preserving them for posterity. The foundation also aims to make these historical buildings accessible to interested parties (such as associations with historical objectives, guilds, etc.). Ultimately, it aims to support the golden handicraft by making these buildings accessible for exhibitions and collections of this handicraft. The foundation takes all necessary measures that it considers suitable for the fulfillment of the foundation's purpose.
"
"
Fondazione Gaetano Marchesi ","
Support and assistance to the less well-off families on Swiss territory and in particular in economic difficulty or hardship; as well as helping the elderly, on Swiss territory, in need of constant care or hospitalization in medical facilities and who find themselves in particular economic difficulties. The aid is designed to facilitate a greater quality of social life for its beneficiaries, it is charitable, psycho-pedagogical, scholastic and professional, social and health care assistance and concerns any other form of assistance and relief. The modality of the aid disbursed can be that of a partial or total contribution, or of constant or limited contributions in time depending on the return to better luck in each individual case. Within the framework of the established purpose, the foundation is an institution of apolitical activity, not addressed to any particular religious confession; it does not pursue any profit or gain purposes and will carry out its business in Switzerland. The foundation will be able to carry out any activity necessary to achieve its purpose.
"
"
Cordoba Peace Institute - Geneva ","
to promote the exchange between cultures and civilizations in the spirit of Cordoba; to contribute to research and to enrich the debate on peace in the world (cf. deed of foundation for complete aim).
"
"
Fondation Chateau de Tourbillon ","
conservation, maintenance and enhancement of the Chateau de Tourbillon, its enclosures and its access roads due to its historical value
"
"
Fredy und Hanna Neuburger-Lande ","
Support for charitable, cultural and scientific institutions that enjoy tax exemption in Switzerland, especially in the canton of Zurich.
"
"
Fondazione Cavaione ","
The Foundation's purpose is to enhance the terraced landscape of Cavaione in the Municipality of Brusio (GR) through: the promotion of appropriate management of agricultural and agro-forestry land; the promotion of the maintenance of the dry stone walls that support and delimit the terraces; the promotion of studies and research on the historical, naturalistic, landscape and cultural aspects of the terraces and the mountain settlement of Cavaione; the promotion and management for didactic and tourist purposes of the terraces of Cavaione and possibly of other architectural, historical, cultural or landscape elements worthy of conservation in the territory of Cavaione. The Foundation can buy and sell real estate. The Foundation can manage properties owned by third parties. To pursue its goal, the Foundation maintains contacts and collaboration with municipal, cantonal and federal authorities, private owners as well as with those bodies, associations or experts who are interested in the conservation of the country's landscape, naturalistic and cultural heritage.
"
"
Stiftung Jugendforderung Sport for Kids ","
The primary purpose of the foundation is to promote sporting activities among young people. An essential aspect of this support is to bring schoolchildren and young people to the gym and to keep them busy there. This is intended to make an important contribution to public health and thus to the prevention of sedentary lifestyle, increasing obesity and the possible alcohol and drug consumption of today's youth. The foundation also supports performance-oriented youth sports and thus helps young players to achieve their sporting and professional goals. It helps young talents to optimally exploit their sporting potential and thus promotes the development of positive, motivated and socially competent youth. The foundation particularly supports school and youth handball in the Bern region, as well as special projects for the promotion of young handball talent. The foundation is active in the Bern region as part of its purpose.
"
"
Stiftungsfonds Albert Weilenmann ","
The purpose of the foundation is to provide for the benefit of the section members and their surviving dependents against the consequences of accident, illness, disability, unemployment, unintentional distress in old age and death, as well as to support veterans.
"
"
Teleki Teka-Forderstiftung ","
Preservation, repair and promotion of the library known under the name Teleki Teka in Tirgu-Mures, Marosvasarely, Romania, whose founder was Samuel Teleki (1739 - 1822).
"
"
swissskills ","
The aim of the foundation is to promote professional training and further education by participating in international competitions, by organizing the participation of Swiss representatives in international competitions and by advising and supporting Swiss championships. In particular, it supports the Swiss qualifications for international competitions and enables the selected professionals to participate in such competitions. It informs the Swiss public about the competitions. It supports organizations in the world of work in holding their own competitions. The foundation takes and supports measures that are suitable for achieving these goals.
"
"
Stiftung YMCA Basel ","
The purpose of the foundation is to operate a YMCA house, in which, in addition to an apprentices' home, a hostel can also be operated that offers inexpensive overnight accommodation. In addition, the foundation aims to procure and provide the funds for a YMCA house and (or) the operation, maintenance or financial support of such at home and abroad as well as the support of the YMCA work. The Board of Trustees decides at its own discretion how the purpose of the Foundation is to be carried out in detail.
"
"
Romisch-Katholische Kapelle in Braunwald ","
The purpose of the foundation is purely ecclesiastical. The aim is to enable the Roman Catholic Church to perform church services and pastoral care in the area of the community of Braunwald and the Roman Catholic residents and spa guests of this area to fulfill their ecclesiastical and religious duties.
"
"
Fondation Carene ","
Support for carefully selected charitable works that support neglected children. Assisting people in trouble in third world countries; Preservation of the founder's photographic heritage through the organization of exhibitions and the publication of books; Takeover and management of the photo archives made available to the foundation before or after his death, including but not limited to the negatives, data carriers and the like of the founder's photographs and the numbered and unnumbered editions. All income generated by the preservation of the founder's photographic legacy must be used to support the aforementioned charitable works. Can also carry out other activities directly or indirectly related to the purpose.
"
"
Fondation Nadine de Rothschild pour la sante et le bien-etre ","
improving the health and well-being of individuals, in particular children and the elderly; the foundation achieves its goal exclusively in Switzerland, in particular by granting donations to medical establishments or institutions, of a public or private nature, working in the fields of health or well-being; allocations can be made in favor of specific projects or take the form of general financial support (cf. deed of foundation for complete purpose).
"
"
Fondation Santonomia Suisse ","
the foundation's goals are to: make known and promote the use of advance directives, as well as the choice of therapeutic representatives; support the development of quality palliative care; promote psychological and moral support for people at the end of life and their families; encourage and support research and information on ethics in the end of life; promote this approach with public authorities, health professionals and the public; the foundation is committed to the right to a dignified end of life and does not support any violent death process, such as assisted suicide or euthanasia.
"
"
Stiftung Braloba ","
The purpose of the foundation is to provide services to charitable institutions and needy individuals or families on a communal, regional, cantonal, national or international level. The foundation provides its services mainly in the following areas; Donations to institutions that provide charitable medical aid in war and peace; Donations to charitable institutions that provide medical and social help to street children; Donations to non-profit animal welfare, environmental and human rights organizations in Switzerland and abroad; Donations to individuals or families based on the principle of helping people to help themselves; Granting of microcredits to the aforementioned beneficiaries. For this purpose, the foundation can set up subsidiaries and acquire, manage and sell investments of all kinds in companies. The foundation is of a non-profit nature and does not pursue any commercial purposes. The foundation can merge with other foundations with the same or similar objectives.
"
"
CEB Trust Fund ","
Support, at the international level, the study of scientific and technical questions likely to advance research, the synthesis of results, the rules of art for the design and execution and their development, the dissemination of these results, education, support for international cooperation, pre-normative work in the field of concrete structures.
"
"
Schweizer Stiftung Pro Aero ","
Promotion of Swiss aviation, especially among young people and in the field of sporting activities; In addition to promoting flight safety, it also pays due attention to environmental protection issues.
"
"
Fondation Pierre Aubert ","
ensure the preservation and sustainability of the work of the Vaud engraver and painter Pierre Aubert (1910-1987), as well as any related document; conservation of the archives, of the collection of inalienable works in its possession, as well as other works by this artist and those that it may acquire, with the option of depositing them with an appropriate institution; publicize the work of Pierre Aubert and promote its study by providing assistance to any person or public or private body interested in the work of Pierre Aubert; organize events without a predominant commercial character and encourage any editorial initiative concerning it (catalog of the engraved work in particular); watch over the public use made of the work of Pierre Aubert; take any initiative in keeping with the spirit of the person whose name it bears, such as helping young artists, educational activities and granting a periodic prize.
"
"
Centre de recherches familiales et systemiques Cerfasy ","
information, training, research and clinical work in the field of family relations; organize training courses for doctors, psychologists, lawyers, nurses, social workers, etc., provide care under the responsibility of a doctor authorized to practice and in compliance with the legislation in this area.
"
"
Stiftung Pfarrei St. Jakob Samnaun ","
The purpose of the foundation is to enable the Roman Catholic Church to carry out worship and pastoral care in the area of the parish of Samnaun, which is under canonical law, and to enable or facilitate the fulfillment of their ecclesiastical and religious duties for the Roman Catholic residents of this parish area.
"
